16 put user2382277743992889674
21 scan user1909907247573974820 30
20 scan user902368680351012156 36
21 scan user2991004894844164387 16
21 scan user7208475560702440811 75
14 scan user6058377722029321865 86
14 scan user6311346364621532110 81
14 scan user969915159432546385 9
14 put user4067166683538677594
14 scan user7186029424258228834 1
14 scan user1006304365855289034 58
21 scan user8858260776665470082 97
16 scan user7430663900567238312 74
18 put user3925450801967396509
19 scan user6283880254860938198 76
18 scan user6481926923400904204 18
16 scan user5863462255875413079 3
18 scan user5031639696827476815 32
16 scan user3642199094482780376 27
19 scan user198274033490871837 87
16 scan user5397924242959683611 89
20 scan user2893440735421001571 7
18 scan user8722401360068117079 86
20 scan user5853990888746808593 35
16 scan user1887607948547602010 7
19 scan user2652934872090878600 91
14 scan user4898907519317667557 77
16 scan user8812374304300981188 100
18 scan user6822840755874998987 80
15 scan user7896944864575869840 5
15 scan user8154605151712772803 50
21 scan user5496608323407127323 19
15 scan user8263668432615519676 87
21 scan user2315120880664274241 90
18 scan user6178272541817424287 90
16 scan user4075015429282569291 23
19 scan user214117691695425010 96
16 scan user907475839461765429 10
15 put user7874979356846611284
17 scan user9033555807749010890 3
21 scan user865563959362208952 38
20 scan user9205453486900882552 22
15 scan user154422349829541752 53
16 scan user2473873309610466572 35
18 scan user1552109167668232995 3
18 scan user5496608323407127323 20
21 scan user2292238113784378498 63
20 scan user2136116578335570768 66
18 scan user4848666264759265962 85
15 scan user5626339662959515281 3
15 scan user4322185822828415270 45
16 scan user7328817256395170584 67
19 scan user1379507082058140992 48
17 scan user7880980267766619259 94
14 scan user3699349093287888621 68
21 scan user6730101761891758708 42
15 scan user1341697916124329263 39
16 scan user7965712531993500276 44
15 scan user7807188663734093413 28
20 scan user6932616297233150512 67
19 put user4062877015493657759
19 scan user184981945867353339 29
15 scan user6977272155437604687 81
19 scan user5655471445489073477 46
19 scan user5034792834728162319 97
15 scan user3374342597471335864 43
15 scan user4961200001870609346 83
14 scan user5909560009105564618 41
20 scan user8940767407611246367 37
20 scan user2905499817412726076 12
14 scan user7772465130080315048 44
19 scan user2527819808584509808 18
20 scan user8159853685715940206 60
19 scan user6785809865671169589 67
14 scan user7781037282874239795 81
18 scan user8204425429179688806 94
16 scan user4436274539572969115 62
21 scan user5101049048026194000 11
15 scan user5496608323407127323 42
14 scan user5461449731144419393 24
15 scan user3222103069498671725 29
14 scan user3227236127422566757 92
15 scan user6041545272223958341 19
18 scan user9164258659081086376 63
15 scan user4552122469651131331 14
15 scan user7119602866200975501 45
14 scan user5970398779337111257 94
15 scan user4338371126327267008 9
18 scan user1231670306738009785 15
20 scan user5764955703483305942 31
21 scan user7778378855205951685 79
16 scan user8401467652774646287 21
15 scan user1622101986720473113 23
18 scan user7285086511338537907 19
19 scan user4047333395775892770 18
15 scan user5034427682092481269 35
16 scan user1564307233080612356 65
15 scan user1698681576018003413 63
18 scan user7473200855327828103 67
20 scan user4322185822828415270 27
20 scan user2136116578335570768 96
20 scan user3640179959123819741 21
18 scan user4322185822828415270 39
17 scan user2544483349326555693 45
18 scan user842981230969101393 20
17 scan user2512754426109938966 35
21 scan user8466270153751282818 2
17 scan user2136116578335570768 39
21 scan user5933822619035093521 61
17 scan user6506970200532174712 58
21 scan user8762107150929437834 78
17 scan user5060475404168760302 74
21 scan user3761454621961555323 27
17 scan user8787034951981435971 88
21 scan user4848666264759265962 71
18 scan user2015844788616089510 47
21 scan user4906077757416480672 6
18 put user7149332325351513690
21 scan user2902255530419155759 27
18 scan user1686291094200923928 3
21 put user1347551989626498071
18 scan user1507868824029839375 92
21 put user7204485931144209160
15 scan user2136116578335570768 2
15 scan user2842778503771114384 65
20 scan user7737219352023235780 63
21 scan user2136116578335570768 1
21 scan user8880365267815383494 53
18 put user1402705595419193541
18 put user1288108715788782766
15 scan user5101049048026194000 91
18 scan user1225977288301974305 53
19 scan user7323936266499443505 63
21 scan user3642199094482780376 23
14 scan user819643734187393988 7
16 scan user7465762841206478413 71
14 put user7989576236477022059
21 scan user8922670590835522054 28
14 scan user2987551718456690699 67
18 scan user7800483346355865097 61
21 scan user5732585096485602466 18
20 scan user4817520809396172168 40
20 scan user4322185822828415270 59
18 scan user4618801095736552617 72
17 scan user2136116578335570768 94
16 scan user5816902738391270640 29
20 scan user2623834450899887200 86
16 scan user2943563442846465032 16
17 scan user6692066426742920785 98
14 scan user4552603098366084752 70
16 scan user6448633594727138504 72
18 scan user6103259749448802234 11
19 scan user368289169232678446 64
18 scan user1662292369595260764 3
18 scan user6178272541817424287 11
18 scan user6881815082162608469 23
14 scan user758129527364434530 98
16 scan user8116988402183661198 8
19 scan user498237252176154086 13
16 scan user6021759954919793748 87
18 scan user8241571795462790575 32
19 scan user4322185822828415270 46
19 scan user6604400839060107709 41
18 scan user7510783852046613638 30
20 scan user145024086977864631 49
16 scan user131166576316780648 87
18 scan user918114961942420854 30
19 scan user2136116578335570768 51
20 scan user2489416929328231561 70
18 scan user4843753913524972087 68
19 scan user1614171517707635115 83
21 scan user1604547085640931800 90
18 scan user2655198221480822877 60
18 scan user7397142011206687144 74
19 scan user4465944347100039475 90
21 scan user6754585078510888768 83
20 scan user4157401121623648168 98
17 scan user4749082969977142511 9
16 scan user4322185822828415270 71
14 scan user9016671560317363848 29
20 scan user5229799449974955918 85
16 scan user2815735762573765338 80
14 scan user4719057435638329613 51
14 scan user2136116578335570768 85
16 scan user5180344325143720965 20
16 scan user610909972708152326 67
14 scan user4173591887647924943 75
18 scan user3642199094482780376 44
18 scan user3755979918743361726 13
16 scan user2171557164269109434 28
18 scan user1045300958434033799 12
14 scan user2136116578335570768 61
18 scan user523806737009238972 73
16 scan user97205665048786440 99
14 scan user4706106993309109680 67
20 scan user1802845822209065759 80
17 scan user9120018315442692756 3
21 scan user1887550688395893455 22
17 scan user3418916732406843738 34
21 scan user983981559487533739 93
17 put user1343262321581478236
17 scan user5948749018089009507 94
16 scan user306109771287249754 97
15 scan user6923657056288916431 85
20 scan user122919595827951219 32
20 scan user7780090098080939825 71
15 scan user5701807185229948996 60
19 scan user5865998173112249580 100
16 scan user8915114700282303618 19
20 scan user7836689562197846134 80
16 scan user2952602015587886140 8
15 scan user1831087816227882728 13
18 scan user2073345858539434832 33
15 scan user8125438044546134336 72
19 scan user60839965967426276 99
18 scan user6614359062423925278 58
16 put user4651097833462494103
20 scan user4673502363099195699 52
16 scan user3282463602487024217 87
14 scan user7424718814103034879 77
18 scan user3282463602487024217 16
20 scan user4311603960499468400 86
18 scan user6887734269813670143 11
17 scan user4975235040587029904 82
18 scan user2122207270048203267 9
19 scan user6143447740851830611 38
18 scan user3400686394735889606 95
19 scan user4856817440461705117 55
14 scan user7314530149650582073 70
21 scan user7906990273734058747 47
20 scan user8428224573133501310 53
18 scan user8394849521190789309 98
14 scan user4098239841456763599 12
21 scan user1524280296743717307 74
14 scan user2435267768480544616 88
20 scan user5669323493624732423 31
20 scan user2439401843984856160 10
20 scan user4848666264759265962 83
15 scan user4012943653419228659 5
16 scan user4420754427196586611 51
14 scan user1550796830239251975 36
20 scan user5101049048026194000 76
14 scan user7772352045472801951 78
15 scan user4409704573093389179 10
16 scan user345714294836755198 88
15 scan user7083804981628940096 97
21 scan user5100294279637594154 17
14 scan user6178272541817424287 4
21 scan user2871922103596370366 61
14 scan user6134762503450392767 45
16 scan user8187982595127244078 30
15 scan user5343361959017695385 36
17 scan user6822840755874998987 30
21 scan user2616124688576650359 28
16 scan user7611348084432363129 92
20 scan user3782860169178673431 73
14 scan user7636824028700803928 66
21 scan user6604400839060107709 19
21 scan user6729431108243864437 12
21 scan user4017264682802815290 12
14 scan user4988437550944417790 1
21 scan user869098859018628941 34
14 scan user2136116578335570768 51
14 scan user2138092535060266821 82
21 scan user1155676576765761692 25
21 put user617615290086380642
17 scan user7666861380335314612 24
17 scan user737039726628473228 18
17 scan user9007380919547774787 82
17 scan user8428532465617473805 25
17 scan user5899514599947375711 37
17 scan user3527872391227502551 77
17 scan user1370247802627118727 55
17 scan user4587324240548103843 52
17 scan user7537582379212979042 47
17 scan user7301659039118549167 29
17 scan user7421335543688809706 92
17 scan user4708199997939832305 23
17 put user5886982743237882096
17 scan user2710014964922738330 28
14 put user759331171657661727
17 scan user4614454167539824227 44
14 scan user7505203918218091255 88
17 scan user1146335574065793126 26
17 scan user5511043839396309202 34
21 scan user1985259293765136164 18
21 put user6757980994746653901
17 scan user2168379563251186184 97
21 scan user9007380919547774787 10
21 scan user1055428090861169007 20
21 scan user7846143649505327797 28
17 scan user4995798633621176828 31
21 scan user6394515795218018355 32
17 scan user7038452570963449891 3
17 scan user667485929483676150 88
14 scan user3586516889516511254 18
14 scan user3670657831892685027 9
14 scan user4051207549254852050 9
14 scan user5729263049521599323 51
17 scan user8768052237393641267 54
21 scan user4848666264759265962 15
17 scan user4087213494694948652 62
21 scan user6302670553044032778 42
21 put user5243608319476350282
17 put user5101892437905069197
21 scan user6177825665912796936 15
17 scan user4920225880740414327 11
21 scan user2136116578335570768 59
17 scan user242449262980372591 82
21 scan user4899798879655162985 83
21 scan user7961334242458205090 7
17 scan user8166998025001611562 41
21 scan user1761541873080269961 32
17 scan user7529208997594027168 46
14 scan user4497981162800628697 51
17 scan user5216175962526082440 44
14 scan user9182763136425686933 51
17 put user6698537720908938596
14 scan user6103259749448802234 97
17 scan user6830691893090649958 84
14 scan user2965139334822804792 100
17 scan user7038452570963449891 85
21 scan user3766472203806177984 4
14 scan user7510783852046613638 28
21 scan user2085068757762285809 3
14 scan user4695501623638780325 51
21 scan user4969039321790562531 38
21 scan user6250644186338881053 3
14 scan user4880143119947714736 20
21 scan user7402054362440981019 30
14 scan user4567668480840655594 79
21 scan user2136116578335570768 32
21 scan user9045142115022966285 5
21 scan user2038956116182770721 25
14 scan user6073216935288866513 53
17 scan user5087127093917286539 2
21 scan user8678305462375803352 62
17 scan user978393771661827045 94
14 scan user3209484026994806772 49
15 scan user955957880686558653 75
14 scan user5925863859737354490 67
21 scan user3337003814783533971 79
15 scan user1110915487950978731 87
14 scan user8940759553614062056 78
21 scan user4793178867669456238 61
15 scan user2140884483623784750 60
21 scan user5363351510022257888 90
14 scan user6489047755345193075 44
19 scan user9220331915496178307 55
14 scan user2220565413195717036 30
19 scan user2136116578335570768 39
21 scan user2597038315205281070 22
15 scan user7038452570963449891 36
15 scan user7230572197855169912 36
17 scan user169356602880642049 51
16 scan user6958847009890191157 57
15 scan user4224274555585528852 7
15 scan user5073390521860899964 100
17 scan user1433656242905827937 82
14 scan user1708955545862977788 2
19 scan user8094770826426234689 11
14 scan user4244228781953011084 20
19 scan user4058498725958362573 16
14 scan user6663310051198824325 49
19 scan user2136116578335570768 37
15 scan user6596357285439756614 60
19 put user7263929204981924465
14 scan user8853382178241502277 26
16 scan user1217222144927287946 89
21 scan user8394849521190789309 89
15 scan user8626052926455625433 85
14 scan user660559905415846677 54
21 scan user4322185822828415270 66
19 scan user2136116578335570768 64
17 scan user2667737932187500803 17
19 scan user2267484620790115488 26
17 scan user6236778056685778134 48
19 scan user7300012910392453893 46
20 scan user8001019533500801574 1
20 scan user6279974740043412122 87
19 scan user1297683741700961837 36
17 scan user4348863411390083266 52
19 scan user8072108766235940103 29
17 scan user2282776172479712524 24
19 scan user4322185822828415270 15
18 scan user2430702525065974343 58
21 scan user2990444934332023939 62
15 scan user6394515795218018355 45
17 scan user8780671279897506220 92
15 scan user2514986414161316447 37
21 scan user946138640743395940 63
15 scan user4081155323623232122 35
14 put user1267124145663150250
21 scan user973846573063214220 63
14 scan user2292798074296518946 91
18 scan user2605824819918534225 79
21 put user1322277751455845720
21 scan user6385590307084110344 100
14 scan user8023092663312148190 88
18 scan user7719104490431554019 7
18 scan user5532562471220940407 59
14 scan user6411040352539409384 93
21 scan user7384943945794307783 5
15 scan user6295240392919867399 96
19 put user4534656190061865369
17 scan user2347548747813686272 9
17 scan user1565610144685654864 91
19 scan user8242350071192772906 18
19 scan user7038452570963449891 89
15 put user4479502584269169899
19 scan user2078931254893382252 75
15 scan user5009648290285076500 21
17 put user4594099463899580674
17 scan user4651965686458607046 82
20 scan user1516155019854419911 11
20 scan user7967723813355276600 40
19 scan user4848666264759265962 44
19 scan user5101049048026194000 20
15 scan user8572471580117263247 55
17 scan user4848666264759265962 57
19 scan user3969733653538985323 4
19 scan user6906524567996764723 84
17 scan user1792466621753762598 61
15 scan user2136116578335570768 64
15 scan user132065790651460387 78
17 scan user4211072045228140966 53
18 scan user2890530239724545508 64
19 scan user7666049351795006211 6
19 scan user2718392309840203679 52
17 scan user8060830351445957203 100
18 scan user8940541238396220173 10
19 scan user8599709129191071691 7
18 scan user2136116578335570768 62
19 scan user3249088550544312216 98
18 scan user8274168571675520245 7
18 scan user4209531147112374478 13
17 scan user8099369822651131032 66
16 scan user3984360014106113125 91
18 put user2107368056788658619
18 scan user4679113658266284878 28
17 scan user3364068627626361489 36
18 scan user994586929157863094 53
16 scan user6329209158185045918 100
17 scan user2372975285927602827 86
18 scan user8965652030028979922 10
18 scan user840076197798070367 100
14 scan user5520251321201047949 84
15 scan user6822840755874998987 57
21 scan user8011601395829748444 86
20 scan user2387353541765076151 43
20 scan user9109970514812744575 31
20 scan user8782014978665054036 67
21 scan user6767613280810541527 10
17 scan user8646785428553089996 37
21 scan user3131892138755083636 27
20 scan user8797948214135737821 28
17 scan user7781037282874239795 28
16 scan user4416402036474433184 40
17 scan user9155217694867905994 16
16 scan user974349273423646113 42
17 scan user2443231990303708684 67
16 scan user4322185822828415270 47
14 scan user3621788566386732281 60
18 scan user1277703616520337846 100
16 scan user7314643234258095170 24
16 scan user2439401843984856160 39
14 scan user3958129301449072480 15
16 scan user4120118163391650817 9
18 scan user2542003256545523734 88
16 scan user5652935528252236976 36
20 scan user2605824819918534225 87
16 scan user8106377569987906806 95
20 scan user2167762342587337181 57
16 scan user3497289287848308479 47
20 scan user2136116578335570768 25
20 scan user1232069212184016905 78
16 scan user1193519495509899491 11
16 scan user1341697916124329263 1
16 scan user8923009844658061345 71
20 scan user5773698201036452341 73
16 scan user3872056409508309410 34
20 scan user2136116578335570768 7
20 scan user6831994804695692466 30
16 scan user1024729511402702564 80
20 scan user955171750959392011 34
21 scan user5431080979684553729 24
21 scan user2452580847000861561 85
19 scan user2136116578335570768 46
17 scan user4101726770654563357 47
14 scan user5773585116428939244 18
14 scan user8210621147976156179 30
15 scan user3810649824767438012 33
15 scan user159871154234593590 53
20 scan user8565990040482301851 63
17 scan user5436660913513076112 94
20 scan user213899376477583127 36
14 scan user1676829152896257954 20
14 scan user5046931248517073851 87
17 scan user2547362483684444960 49
21 put user4538945858106885204
21 scan user8269035513751625213 57
17 scan user7896718695360843646 68
14 scan user2136116578335570768 30
14 scan user2136116578335570768 54
21 scan user3875622670503296195 20
17 put user7913438060558694073
14 scan user5609707483556036192 78
21 scan user2986100397607054823 75
17 scan user6133837390302571269 37
21 scan user5609707483556036192 51
17 scan user1804851641045417046 14
14 put user5264592889601982798
17 scan user378789308292679015 1
21 scan user1839203667293241612 96
14 scan user7577444433316077476 85
17 scan user6993983666638270803 69
17 scan user6020866203110539046 39
14 scan user4910098748313279119 50
21 scan user6959293885794818508 30
17 scan user3008423203974810118 60
21 scan user8930267268551245798 83
14 scan user6394515795218018355 97
17 scan user1776275855729485823 65
21 scan user509402582358623889 64
14 scan user4322185822828415270 29
17 scan user2167819602739045736 62
21 scan user4322185822828415270 18
14 scan user2799072221831719453 75
21 scan user7901492063174482665 39
17 scan user5169544147596932212 19
21 scan user2589000224110355012 99
17 scan user3882661779178638765 35
14 scan user552195568445895108 58
17 scan user4211663367078848210 88
14 scan user2481829677436446329 99
21 scan user4965018330893764084 99
17 scan user5366804686409731576 86
14 scan user2414517221567122605 78
21 scan user8946678741265123730 42
17 put user5122877008030701713
21 scan user2214703485696363917 37
14 scan user8302557403112176381 13
14 scan user1281716753419951982 14
14 scan user8944693358716489165 60
15 scan user3486234650801592499 50
21 scan user3298235782891574674 2
14 scan user42083420594657766 10
15 scan user5940154929780456476 78
14 scan user4322185822828415270 72
14 scan user1876863595456617799 2
14 scan user4723186048617216120 43
15 scan user2277083154043677044 6
15 scan user7160358672113328637 89
14 scan user6806576120578960222 42
14 scan user2136116578335570768 41
14 scan user5645312951723371473 29
21 scan user4012465416176034512 99
17 scan user528752841053858917 18
14 scan user4942695524526008789 51
17 scan user3176353189083078413 72
14 scan user5348129864305909367 71
21 scan user2710567071437694467 77
17 scan user3985926811035021372 62
17 scan user2120787310537134187 36
14 scan user3987044340587542994 74
17 scan user8993927776858122961 41
14 scan user4848666264759265962 3
14 scan user7611348084432363129 76
17 scan user6821081542541390616 1
17 scan user549932219055950831 56
20 scan user3151542435937106848 39
14 scan user2014623600279993303 48
20 scan user7187935475009676372 48
17 scan user4322185822828415270 26
17 put user6677553150783306080
20 put user875772815058290461
19 scan user7142382793942301732 9
15 scan user4639233559347228996 34
20 scan user1000506116808924768 39
19 scan user6821081542541390616 40
15 put user7320927574544837894
19 scan user7323936266499443505 46
20 scan user7648356902990714055 86
15 scan user3031421446933978232 11
15 scan user8040516434968218958 15
19 scan user8570565529365815709 17
15 scan user4843386369417531763 75
19 scan user1203685843272785806 36
20 scan user2512307550205311615 34
19 put user7462643456116118979
19 scan user219923794738973587 92
20 scan user2533179035723431034 52
15 scan user5340434990332036075 51
20 scan user1337651026414389057 46
15 scan user2773345645231014714 32
19 scan user8930714144455873149 4
19 scan user2136116578335570768 41
15 scan user1611717323739744915 15
20 scan user6363598900541710029 92
19 scan user5414977399454648292 91
15 scan user3519278302918949520 92
20 scan user1341697916124329263 75
17 scan user3318886561720092936 46
19 scan user1199551767768474262 4
19 scan user6814028352348604073 18
17 scan user8012014518924049725 34
19 scan user5789444482627861039 80
18 scan user1874258600772374957 60
17 scan user5397446005716489464 65
18 scan user6329882203304699463 51
14 scan user8909508867640639476 76
15 scan user6395075755730158803 14
15 scan user116327363057236000 55
18 scan user2911935786941663616 20
18 scan user1261179059198946817 20
14 scan user8114856182217187466 95
15 scan user8241797964677816769 54
18 scan user4844093167347511378 84
15 scan user1323215510425207178 64
18 scan user2136116578335570768 26
14 scan user5797148782425672843 88
18 scan user263801377213445431 1
18 scan user3642199094482780376 79
15 scan user415373322591881062 66
14 scan user4523012622636201419 40
18 scan user2136116578335570768 84
15 scan user2287128563201865951 29
14 scan user4559778798990322904 78
18 scan user78258275098072007 52
15 scan user8235092647299588453 34
15 scan user9011874685162342344 45
18 scan user872420905982632084 79
14 scan user2929467180679822444 42
15 scan user8565990040482301851 97
14 scan user4630973262335790219 94
18 scan user5962372505537882985 95
15 scan user2315819824597069545 89
14 scan user6317712428177221135 32
18 scan user5247104674498088552 67
14 scan user2136116578335570768 80
15 scan user5543306824311924618 61
14 scan user6101992991006682171 25
18 scan user6754585078510888768 70
14 scan user788053794391432117 76
15 scan user4674096076421662217 84
18 scan user4848666264759265962 29
16 scan user8440178424514897029 10
18 scan user8370183213990897637 35
16 put user816329541220575156
18 scan user3497515457063334673 40
15 scan user2136116578335570768 48
16 scan user9057987326741857432 53
15 scan user4815170274211856553 28
18 scan user5101049048026194000 93
15 scan user7268893353842501858 61
16 scan user97205665048786440 6
16 scan user7022064605590954444 38
18 scan user7883321377126996362 31
16 scan user6572358560834093450 73
15 scan user3723244159109977200 31
18 scan user7022064605590954444 87
15 scan user3020595370574047720 9
16 scan user1306609229834869848 18
18 scan user5361419560457668591 78
14 scan user3667895745440822332 30
17 scan user4322185822828415270 84
20 scan user3272336470059889009 77
14 scan user7636937113308317025 86
17 scan user6053796770620382970 59
20 scan user1960809729956332174 94
14 scan user7611348084432363129 75
17 put user1381721025293561025
17 scan user540023401846657506 26
14 scan user6101240614089841599 23
17 scan user6521005239248595270 66
20 scan user3599684075236818869 41
14 scan user4020981744514154717 18
14 scan user2906268667318769895 64
20 scan user5101049048026194000 21
17 scan user4178280461138951898 86
20 scan user2136116578335570768 76
14 scan user1123865930280198664 17
20 scan user957856077440821880 83
14 scan user6119331968340140875 44
17 scan user4848666264759265962 96
20 scan user1392938153102314346 46
14 scan user3387211316531609496 22
14 scan user1352498093671118016 7
20 scan user721740320941691881 40
16 scan user4079005058840800942 40
21 scan user6754585078510888768 75
18 scan user1355208318965689644 6
20 scan user1659839674854282126 8
16 scan user550849478206588018 25
17 scan user1777953345794147893 59
18 scan user1259612262270038570 97
20 scan user2187100783986874423 90
21 scan user2136116578335570768 37
16 scan user577534920765440325 58
21 scan user654225203198724448 5
17 scan user1681352844153488294 71
21 scan user8494845939067214041 17
21 scan user4644253532663610931 69
16 scan user2136116578335570768 78
20 scan user925485470443118404 21
17 scan user8140125628563484168 84
16 scan user3216150129037283981 43
20 scan user6220114515943732249 42
21 scan user3650533260765981143 74
16 scan user4411268978550538152 56
20 scan user872420905982632084 19
17 scan user2792991979114524451 98
14 scan user5872834619913948441 9
20 scan user7252342897707969070 68
19 scan user9143387173562966957 99
15 scan user3642199094482780376 96
18 scan user5333850611558505167 93
15 scan user5608589954003514570 53
20 scan user302317341077236775 26
20 scan user4780124766556661720 98
15 scan user5609707483556036192 89
18 scan user6178272541817424287 7
18 scan user7510783852046613638 17
18 scan user6675402886000874900 39
15 scan user3252163928474564894 65
18 scan user577534920765440325 67
19 scan user368176084625165349 93
18 scan user2287349269891467108 48
15 scan user5725809873134125635 98
18 scan user5101049048026194000 58
18 scan user2231276013476375177 100
19 scan user6854130657184172674 38
15 scan user2087152336569069922 21
19 scan user550150534273792714 46
15 scan user259559679627045827 12
15 scan user6688271605061148532 56
19 scan user5865351026805737794 93
18 scan user5786430328147830391 18
